dataset_group_name,dataset_data_types,organ_type,dataset_status
Stanford TMC,MS-non-spatial,small intestine,Published
Stanford TMC,ATAC-seq,small intestine,Published
Stanford TMC,RNA-seq,small intestine,Published
Stanford TMC,ATAC-seq,small intestine,Published
Stanford TMC,MS-non-spatial,small intestine,Published
Stanford TMC,MS-non-spatial,small intestine,Published
Stanford TMC,WGS,small intestine,Published
Stanford TMC,sc/snRNA-seq,small intestine,QA
Stanford TMC,sc/snATAC-seq,small intestine,Published
Stanford TMC,sc/snRNA-seq,small intestine,New
Stanford TMC,sc/snATAC-seq,small intestine,New
Stanford TMC,MS-non-spatial,small intestine,Published
Stanford TMC,MS-non-spatial,small intestine,Published
Stanford TMC,MS-non-spatial,small intestine,Published
Stanford TMC,ATAC-seq,small intestine,Published
Stanford TMC,ATAC-seq,small intestine,Published
Stanford TMC,RNA-seq,small intestine,Published
Stanford TMC,MS-non-spatial,small intestine,Published
Stanford TMC,MS-non-spatial,small intestine,Published
Stanford TMC,WGS,small intestine,Published
California Institute of Technology TMC,ATAC-seq,heart,Published
California Institute of Technology TMC,FISH,heart,Published
California Institute of Technology TMC,sc/snRNA-seq,heart,QA
California Institute of Technology TMC,ATAC-seq,heart,Published
California Institute of Technology TMC,FISH,heart,Published
California Institute of Technology TMC,ATAC-seq,heart,Published
California Institute of Technology TMC,FISH,heart,Published
Vanderbilt TMC,AF,kidney (right),Published
Vanderbilt TMC,Histology,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (right),Published
Northwestern RTI,MS-non-spatial,kidney (right),New
Vanderbilt TMC,MS-Spatial,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (right),Published
Vanderbilt TMC,Histology,kidney (right),Published
Vanderbilt TMC,AF,kidney (right),Published
Vanderbilt TMC,MS-non-spatial,kidney (right),Published
Vanderbilt TMC,Histology,kidney (right),Published
University of Florida TMC,CODEX,spleen,Published
University of Florida TMC,RNA-seq,spleen,Published
University of Florida TMC,RNA-seq,spleen,Published
University of Florida TMC,RNA-seq,spleen,Published
University of Florida TMC,RNA-seq,spleen,Published
University of Florida TMC,CODEX,spleen,New
University of Florida TMC,CODEX,spleen,Published
Northwestern RTI,MS-non-spatial,spleen,New
University of Florida TMC,RNA-seq,spleen,Published
University of Florida TMC,RNA-seq,spleen,Published
University of Florida TMC,CODEX,spleen,Published
University of Florida TMC,CODEX,lymph node,Published
University of Florida TMC,CODEX,lymph node,Published
University of Florida TMC,CODEX,lymph node,Published
University of Florida TMC,RNA-seq,lymph node,Published
Vanderbilt TMC,AF,kidney (left),Published
Vanderbilt TMC,Histology,kidney (left),Published
Vanderbilt TMC,MS-Spatial,kidney (left),Published
Vanderbilt TMC,MS-Spatial,kidney (left),Published
Vanderbilt TMC,MS-Spatial,kidney (left),QA
Vanderbilt TMC,MS-Spatial,kidney (left),QA
Vanderbilt TMC,Histology,kidney (left),Published
Vanderbilt TMC,AF,kidney (left),Published
Vanderbilt TMC,Histology,kidney (left),Published
Vanderbilt TMC,AF,kidney (right),Published
Vanderbilt TMC,Histology,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (right),Published
Vanderbilt TMC,AF,kidney (right),Published
Northwestern RTI,MS-non-spatial,kidney (left),New
Vanderbilt TMC,AF,kidney (left),Published
Vanderbilt TMC,MS-Spatial,kidney (left),Published
Vanderbilt TMC,MS-Spatial,kidney (left),Published
Vanderbilt TMC,Histology,kidney (left),Published
Vanderbilt TMC,MS-non-spatial,kidney (left),Published
Vanderbilt TMC,Histology,kidney (left),Published
Northwestern RTI,MS-non-spatial,kidney (right),New
Vanderbilt TMC,AF,kidney (right),Published
Vanderbilt TMC,MS-non-spatial,kidney (right),Published
Vanderbilt TMC,Histology,kidney (right),Published
Vanderbilt TMC,AF,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (right),Published
Vanderbilt TMC,Histology,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (left),Published
Vanderbilt TMC,MS-Spatial,kidney (left),Published
Vanderbilt TMC,Histology,kidney (left),Published
Vanderbilt TMC,AF,kidney (left),Published
Vanderbilt TMC,Histology,kidney (left),Published
Vanderbilt TMC,MS-Spatial,kidney (left),QA
Vanderbilt TMC,MS-Spatial,kidney (left),QA
Vanderbilt TMC,Histology,kidney (left),Published
Vanderbilt TMC,AF,kidney (left),Published
Vanderbilt TMC,Histology,kidney (left),Published
Stanford TMC,sc/snRNA-seq,large intestine,QA
Stanford TMC,CODEX,large intestine,QA
Stanford TMC,sc/snATAC-seq,large intestine,Published
Stanford TMC,sc/snRNA-seq,large intestine,Published
Stanford TMC,sc/snRNA-seq,large intestine,QA
Stanford TMC,CODEX,large intestine,QA
Stanford TMC,sc/snATAC-seq,large intestine,Published
Stanford TMC,sc/snRNA-seq,large intestine,Published
Stanford TMC,sc/snRNA-seq,large intestine,QA
Stanford TMC,CODEX,large intestine,QA
Stanford TMC,sc/snATAC-seq,large intestine,Published
Stanford TMC,sc/snRNA-seq,large intestine,Published
Stanford TMC,sc/snRNA-seq,large intestine,QA
Stanford TMC,CODEX,large intestine,QA
Stanford TMC,sc/snATAC-seq,large intestine,Published
Stanford TMC,sc/snRNA-seq,large intestine,Published
Stanford TMC,sc/snRNA-seq,small intestine,QA
Stanford TMC,sc/snATAC-seq,small intestine,Published
Stanford TMC,CODEX,small intestine,QA
Stanford TMC,sc/snRNA-seq,small intestine,New
Stanford TMC,sc/snATAC-seq,small intestine,New
Stanford TMC,sc/snRNA-seq,small intestine,QA
Northwestern RTI,MS-non-spatial,small intestine,New
Stanford TMC,sc/snATAC-seq,small intestine,Published
Stanford TMC,CODEX,small intestine,QA
Stanford TMC,sc/snRNA-seq,small intestine,New
Stanford TMC,sc/snATAC-seq,small intestine,New
Stanford TMC,sc/snRNA-seq,small intestine,QA
Stanford TMC,sc/snATAC-seq,small intestine,Published
Stanford TMC,CODEX,small intestine,QA
Stanford TMC,sc/snRNA-seq,small intestine,New
Stanford TMC,sc/snATAC-seq,small intestine,New
Stanford TMC,sc/snRNA-seq,small intestine,QA
Stanford TMC,sc/snATAC-seq,small intestine,Published
Stanford TMC,CODEX,small intestine,QA
Stanford TMC,sc/snRNA-seq,small intestine,New
Stanford TMC,sc/snATAC-seq,small intestine,New
Stanford TMC,sc/snRNA-seq,small intestine,QA
Stanford TMC,WGS,small intestine,Published
Stanford TMC,sc/snATAC-seq,small intestine,Published
Stanford TMC,CODEX,small intestine,QA
Stanford TMC,sc/snRNA-seq,small intestine,New
Stanford TMC,WGS,small intestine,New
Stanford TMC,sc/snATAC-seq,small intestine,New
Stanford TMC,sc/snRNA-seq,small intestine,QA
Stanford TMC,WGS,small intestine,Published
Stanford TMC,sc/snATAC-seq,small intestine,Published
Stanford TMC,CODEX,small intestine,QA
Stanford TMC,sc/snRNA-seq,small intestine,New
Stanford TMC,WGS,small intestine,New
Stanford TMC,sc/snATAC-seq,small intestine,New
Stanford TMC,sc/snRNA-seq,small intestine,QA
Stanford TMC,WGS,small intestine,Published
Stanford TMC,sc/snATAC-seq,small intestine,Published
Stanford TMC,CODEX,small intestine,QA
Stanford TMC,sc/snRNA-seq,small intestine,New
Stanford TMC,WGS,small intestine,New
Stanford TMC,sc/snATAC-seq,small intestine,New
Stanford TMC,sc/snRNA-seq,small intestine,QA
Stanford TMC,WGS,small intestine,Published
Stanford TMC,sc/snATAC-seq,small intestine,Published
Stanford TMC,CODEX,small intestine,QA
Stanford TMC,sc/snRNA-seq,small intestine,New
Stanford TMC,WGS,small intestine,New
Stanford TMC,sc/snATAC-seq,small intestine,New
Stanford TMC,sc/snRNA-seq,large intestine,QA
Stanford TMC,WGS,large intestine,Published
Stanford TMC,sc/snATAC-seq,large intestine,Published
Stanford TMC,CODEX,large intestine,QA
Stanford TMC,sc/snRNA-seq,large intestine,New
Stanford TMC,WGS,large intestine,New
Stanford TMC,sc/snATAC-seq,large intestine,New
Stanford TMC,sc/snRNA-seq,large intestine,QA
Stanford TMC,WGS,large intestine,Published
Stanford TMC,sc/snATAC-seq,large intestine,Published
Stanford TMC,CODEX,large intestine,QA
Stanford TMC,sc/snRNA-seq,large intestine,New
Stanford TMC,WGS,large intestine,New
Stanford TMC,sc/snATAC-seq,large intestine,New
Stanford TMC,sc/snRNA-seq,large intestine,QA
Stanford TMC,WGS,large intestine,Published
Stanford TMC,sc/snATAC-seq,large intestine,Published
Stanford TMC,CODEX,large intestine,QA
Stanford TMC,sc/snRNA-seq,large intestine,New
Stanford TMC,WGS,large intestine,New
Stanford TMC,sc/snATAC-seq,large intestine,New
Stanford TMC,sc/snRNA-seq,large intestine,QA
Stanford TMC,sc/snRNA-seq,large intestine,QA
Stanford TMC,WGS,large intestine,Published
Stanford TMC,sc/snATAC-seq,large intestine,Published
Stanford TMC,sc/snATAC-seq,large intestine,Published
Stanford TMC,CODEX,large intestine,QA
Stanford TMC,sc/snRNA-seq,large intestine,New
Stanford TMC,WGS,large intestine,New
Stanford TMC,sc/snATAC-seq,large intestine,New
Stanford TMC,sc/snATAC-seq,large intestine,New
Stanford TMC,WGS,blood,Published
Stanford TMC,WGS,blood,New
California Institute of Technology TMC,ATAC-seq,pancreas,Published
California Institute of Technology TMC,ATAC-seq,spleen,Published
California Institute of Technology TMC,sc/snRNA-seq,heart,Published
California Institute of Technology TMC,ATAC-seq,heart,QA
California Institute of Technology TMC,sc/snRNA-seq,heart,New
California Institute of Technology TMC,ATAC-seq,lung (right),Published
California Institute of Technology TMC,sc/snRNA-seq,heart,Published
California Institute of Technology TMC,ATAC-seq,heart,QA
California Institute of Technology TMC,sc/snRNA-seq,heart,New
California Institute of Technology TMC,sc/snRNA-seq,heart,Published
California Institute of Technology TMC,ATAC-seq,heart,QA
California Institute of Technology TMC,sc/snRNA-seq,heart,New
California Institute of Technology TMC,ATAC-seq,pancreas,QA
California Institute of Technology TMC,ATAC-seq,heart,Published
California Institute of Technology TMC,sc/snRNA-seq,heart,Published
California Institute of Technology TMC,ATAC-seq,heart,Published
California Institute of Technology TMC,sc/snRNA-seq,heart,New
California Institute of Technology TMC,ATAC-seq,liver,Published
California Institute of Technology TMC,sc/snRNA-seq,heart,Published
California Institute of Technology TMC,ATAC-seq,heart,QA
California Institute of Technology TMC,sc/snRNA-seq,heart,New
California Institute of Technology TMC,sc/snRNA-seq,heart,Published
California Institute of Technology TMC,ATAC-seq,heart,Published
California Institute of Technology TMC,sc/snRNA-seq,heart,New
California Institute of Technology TMC,sc/snRNA-seq,heart,Published
California Institute of Technology TMC,ATAC-seq,heart,Published
California Institute of Technology TMC,sc/snRNA-seq,heart,New
California Institute of Technology TMC,ATAC-seq,liver,Published
California Institute of Technology TMC,sc/snRNA-seq,heart,QA
California Institute of Technology TMC,ATAC-seq,heart,QA
California Institute of Technology TMC,sc/snRNA-seq,heart,New
Northwestern RTI,MS-non-spatial,heart,New
California Institute of Technology TMC,sc/snRNA-seq,heart,Published
California Institute of Technology TMC,ATAC-seq,heart,QA
California Institute of Technology TMC,sc/snRNA-seq,heart,New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
Northwestern RTI,MS-non-spatial,heart,New
Stanford TMC,sc/snRNA-seq,heart,Published
Stanford TMC,sc/snATAC-seq,heart,New
Purdue TTD,MS-Spatial,heart,New
Purdue TTD,MS-Spatial,heart,New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
Vanderbilt TMC,MS-non-spatial,kidney (left),Published
Vanderbilt TMC,MS-non-spatial,kidney (right),Published
Vanderbilt TMC,MS-non-spatial,kidney (left),Published
Vanderbilt TMC,MS-non-spatial,kidney (left),Published
Vanderbilt TMC,MS-non-spatial,kidney (right),Published
Vanderbilt TMC,MS-non-spatial,kidney (left),Published
Vanderbilt TMC,MS-non-spatial,kidney (left),Published
Vanderbilt TMC,MS-non-spatial,kidney (right),Published
Vanderbilt TMC,MS-non-spatial,kidney (right),Published
Vanderbilt TMC,MS-non-spatial,kidney (left),Published
Purdue TTD,MS-Spatial,kidney (left),New
Purdue TTD,MS-Spatial,kidney (left),New
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (right),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Hold
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Hold
University of California San Diego TMC,SNARE-seq,kidney (left),Published
University of California San Diego TMC,SNARE-seq,kidney (left),Published
University of California San Diego TMC,SNARE-seq,kidney (left),Published
University of California San Diego TMC,SNARE-seq,kidney (left),Published
University of California San Diego TMC,SNARE-seq,kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,SNARE-seq,kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,SNARE-seq,kidney (left),Published
University of California San Diego TMC,SNARE-seq,kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,SNARE-seq,kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,"Multiome (RNA, ATAC)",kidney (left),Published
University of California San Diego TMC,SNARE-seq,kidney (left),Published
University of California San Diego TMC,SNARE-seq,kidney (left),Published
University of California San Diego TMC,SNARE-seq,kidney (left),Published
University of California San Diego TMC,sc/snRNA-seq,kidney (left),Published
University of California San Diego TMC,sc/snRNA-seq,kidney (left),Published
Vanderbilt TMC,Histology,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (right),Published
Vanderbilt TMC,AF,kidney (right),Published
Vanderbilt TMC,AF,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (right),QA
Vanderbilt TMC,MS-Spatial,kidney (right),QA
Vanderbilt TMC,Histology,kidney (right),Published
Vanderbilt TMC,AF,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (right),QA
Vanderbilt TMC,MS-Spatial,kidney (right),QA
Vanderbilt TMC,Histology,kidney (right),Published
Vanderbilt TMC,AF,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (left),QA
Vanderbilt TMC,MS-Spatial,kidney (left),QA
Vanderbilt TMC,Histology,kidney (left),Published
Vanderbilt TMC,AF,kidney (left),Published
Vanderbilt TMC,Histology,kidney (left),Published
Vanderbilt TMC,AF,kidney (left),Published
Vanderbilt TMC,MS-Spatial,kidney (left),Published
Vanderbilt TMC,MS-Spatial,kidney (left),Published
Vanderbilt TMC,AF,kidney (left),Published
Vanderbilt TMC,Histology,kidney (left),Published
University of Florida TMC,CODEX,spleen,New
University of Florida TMC,CODEX,spleen,Published
University of Florida TMC,RNA-seq,spleen,Published
University of Florida TMC,CODEX,spleen,Published
University of Florida TMC,Other-MxIF,spleen,Hold
University of Florida TMC,CODEX,thymus,Published
University of Florida TMC,RNA-seq,thymus,Published
University of Florida TMC,CODEX,thymus,Published
University of Florida TMC,RNA-seq,lymph node,Published
Vanderbilt TMC,MS-Spatial,kidney (left),Published
Vanderbilt TMC,MS-Spatial,kidney (left),Published
